key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-administrator-03,false,"UserIdentity{name: 'Administrator1', surname: 'Acme', email: 'administrator1@acme.com'}",administrator1,administrator1-01
user-account-administrator-04,true,"UserIdentity{name: 'Administrator1芝', surname: 'Acme', email: 'administrator1@acme.com'}",administrator1,administrator1-02
user-account-administrator-05,true,"UserIdentity{name: 'Administrator1', surname: 'Acme/ თხა', email: 'administrator1@acme.com'}",administrator1,administrator1-03
user-account-administrator-06,true,"UserIdentity{name: 'Administrator1', surname: 'Acme', email: 'ხdministrator1@acme.es'}",administrator1,administrator1-04
user-account-manager-01,true,"UserIdentity{name: 'manager1', surname: 'Acme', email: 'manager1@acme.es'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'manager2', surname: 'Acme', email: 'manager2@acme.es'}",manager2,manager2
user-account-client-01,true,"UserIdentity{name: 'client1', surname: 'Acme', email: 'client1@acme.es'}",client1,client1
user-account-client-02,true,"UserIdentity{name: 'client2', surname: 'Acme', email: 'client2@acme.es'}",client2,client2
user-account-sponsor-01,true,"UserIdentity{name: 'sponsor1', surname: 'Acme', email: 'sponsor@acme.es'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'sponsor2', surname: 'Acme', email: 'sponsor2@acme.es'}",sponsor2,sponsor2
user-account-sponsor-03,true,"UserIdentity{name: 'sponsor3', surname: 'Acme', email: 'sponsor3@acme.es'}",sponsor3,sponsor3
user-account-sponsor-04,true,"UserIdentity{name: 'sponsor4', surname: 'Acme', email: 'sponsor4@acme.es'}",sponsor4,sponsor4
user-account-developer1,true,"UserIdentity{name: 'developer1', surname: 'Acme', email: 'developer1@acme.con'}",developer1,developer1
user-account-developer2,true,"UserIdentity{name: 'developer2', surname: 'Acme', email: 'developer2@acme.con'}",developer2,developer2
user-account-auditor-01,true,"UserIdentity{name: 'auditor1', surname: 'Acme', email: 'auditor1@acme.con'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'auditor2', surname: 'Acme', email: 'auditor2@acme.con'}",auditor2,auditor2
